Track,Artist,Album,Popularity,Release Date
Ishq Hai,Anurag Saikia,Mismatched: Season 3 (Soundtrack from the Netflix Series),84,2024-12-03
"Chuttamalle (From ""Devara Part 1"")",Shilpa Rao,"Chuttamalle (From ""Devara Part 1"")",78,2024-08-05
Jiyein Kyun,Pritam,Dum Maaro Dum,70,2011-03-15
Shree Hanuman Chalisa,Hariharan,Shree Hanuman Chalisa (Hanuman Ashtak),74,1992-01-01
2002,Anne-Marie,Speak Your Mind (Deluxe),82,2018-04-27
Thatâ€™s So True,Gracie Abrams,The Secret of Us (Deluxe),97,2024-10-18
"Honey, I'm Good",Andy Grammer,Magazines Or Novels,76,2014-08-05
Seven (feat. Latto) (Explicit Ver.),Jung Kook,GOLDEN,84,2023-11-03
Lutt Putt Gaya,Pritam,Dunki,62,2023-12-20
Dil Tu Jaan Tu,Gurnazar,Dil Tu Jaan Tu,75,2024-06-11
"Tainu Khabar Nahi - From ""Munjya""",Sachin-Jigar,"Tainu Khabar Nahi (From ""Munjya"")",78,2024-05-31
"Kaise Ab Kahein - From ""Gutar Gu""",Gaurav Chatterji,"Kaise Ab Kahein (From ""Gutar Gu"")",66,2023-04-13
Suniyan Suniyan,Juss,Suniyan Suniyan,76,2024-04-12
Teri Jhuki Nazar,Pritam,Murder 3 (Original Motion Picture Soundtrack),71,2013-02-01
Payphone,Maroon 5,Overexposed Track By Track,85,2012-01-01
Let Her Go,Passenger,All the Little Lights,66,2012-02-24
Slow Motion Angreza,Shankar-Ehsaan-Loy,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),62,2013-06-14
Zaroor,Aparshakti Khurana,Zaroor,75,2024-05-28
Radha Kaise Na Jale,A.R. Rahman,Lagaan (Original Motion Picture Soundtrack),65,2001-04-03
"Aasa Kooda - From ""Think Indie""",Sai Abhyankkar,"Aasa Kooda (From ""Think Indie"")",76,2024-06-13
